Person ,age,married,orientation,religion,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
2340,33,Married,Hetero,Agnostic,3,4,4,5,3,5,3,2,3,2,3
2341,35,Married,Bi,Christian,1,2,1,7,7,7,6,2,2,1,4
2342,29,Married,Hetero,Christian Other,2,2,4,4,4,6,6,2,3,2,1
2343,18,Never,Hetero,Atheist,1,6,6,5,1,7,1,1,4,4,2
2344,19,Never,Bi,Other,5,3,5,3,3,4,4,2,3,3,3
2345,16,Never,Bi,Other,2,2,7,2,1,6,1,3,3,3,4
2346,13,Never,Hetero,Christian,2,6,5,7,7,5,2,1,1,3,4
2347,18,Never,Hetero,Christian,5,1,5,3,5,4,5,3,3,3,3
2348,36,Married,Hetero,Christian Other,4,6,5,6,5,4,3,3,2,3,2
2349,15,Never,Asexual,Atheist,2,5,6,5,5,5,1,3,2,2,4
2350,13,Never,New Types,Atheist,4,4,6,7,4,5,1,4,2,3,4
2351,18,Never,Bi,Agnostic,3,7,6,6,5,7,4,2,3,2,1
2352,14,Never,Bi,Agnostic,1,2,5,7,7,7,3,4,4,4,4
2353,13,Never,Bi,Agnostic,4,6,7,7,6,5,4,2,1,2,3
2354,13,Never,New Types,Atheist,1,4,7,7,2,7,3,4,3,3,3
2355,14,Second,Bi,Atheist,5,4,6,5,4,1,1,4,2,4,2
2356,16,Never,Hetero,Christian,1,1,7,7,4,5,3,2,2,2,2
2357,13,Never,Bi,Other,3,5,6,5,4,5,2,2,1,2,2
2358,14,Never,Hetero,Agnostic,4,1,7,1,7,4,1,4,2,4,4
2359,15,Never,New Types,Atheist,6,2,3,4,4,7,2,4,1,2,2
2360,16,Never,Bi,Agnostic,5,1,6,7,5,7,2,4,4,4,3
2361,15,Never,Bi,Christian,3,5,7,7,6,6,3,4,2,2,2
2362,36,Never,Bi,Christian,3,1,5,5,5,7,3,2,2,3,4
2363,16,Never,Homo,Agnostic,6,2,6,5,4,2,4,2,2,2,3
2364,19,Never,Hetero,Atheist,1,7,6,7,6,5,3,2,1,1,2
2365,14,Never,Homo,Christian,3,6,6,7,5,7,6,3,2,3,3
2366,15,Never,New Types,Atheist,1,4,7,7,2,5,2,3,1,3,4
2367,16,Never,Homo,Agnostic,1,5,5,7,4,6,2,2,1,1,3
2368,16,Never,Bi,Agnostic,7,5,1,1,6,7,2,2,3,3,3
2369,13,Never,Asexual,Atheist,3,5,6,6,5,2,2,3,2,2,4
2370,42,Married,Hetero,Christian Other,1,1,6,7,7,7,1,1,2,1,3
2371,16,Never,Bi,Other,1,4,1,5,4,1,1,3,3,4,4
2372,13,Never,Bi,Agnostic,2,1,6,7,5,6,2,2,2,3,4
2373,14,Never,Bi,Agnostic,1,1,1,7,1,7,1,4,4,4,4
2374,29,Never,Hetero,Muslim,6,6,2,2,2,6,2,1,2,1,3
2375,13,Never,Bi,Christian Other,3,3,6,5,5,5,2,3,2,4,2
2376,30,Previously,Hetero,Muslim,5,3,7,1,6,3,1,2,3,3,4
2377,20,Never,Hetero,Christian,5,6,2,6,5,2,3,3,1,2,2
2378,21,Never,Hetero,Christian,1,4,7,7,6,6,1,3,4,3,4
2379,27,Never,Hetero,Agnostic,5,3,6,6,6,5,5,3,3,3,2
2380,17,Never,Hetero,Protestant,2,5,7,4,4,4,1,3,4,4,4
2381,16,Never,Bi,Agnostic,5,7,5,6,3,1,1,4,2,2,4
2382,22,Never,Hetero,Protestant,1,3,6,7,4,3,2,2,2,2,3
2383,64,Never,Hetero,Christian Other,7,7,5,1,6,1,6,2,2,2,3
2384,22,Never,Hetero,Christian Other,7,7,2,5,7,1,5,1,1,2,1
2385,17,Never,Bi,Christian,5,3,6,6,5,7,1,3,2,4,4
2386,36,Married,Bi,Other,6,5,7,2,6,1,5,3,1,1,2
2387,15,Never,Homo,Atheist,1,2,3,6,5,7,4,2,1,2,1
2388,23,Never,Hetero,Muslim,1,1,1,1,1,1,1,2,3,3,1
2389,45,Previously,Hetero,Christian Other,2,5,6,5,6,2,2,2,3,3,4
2390,27,Never,Bi,Other,3,1,5,5,7,7,2,3,2,2,4
2391,17,Never,Hetero,Agnostic,5,6,7,6,7,1,3,3,1,3,3
2392,13,Never,New Types,Atheist,2,6,7,5,3,1,2,4,2,3,2
2393,54,Previously,Hetero,Agnostic,5,6,1,2,6,1,6,1,1,1,1
2394,20,Never,New Types,Other,5,5,7,5,5,3,2,4,3,4,4
2395,29,Married,Hetero,Christian,6,7,6,4,4,1,5,4,4,4,4
2396,17,Never,Bi,Agnostic,1,3,6,7,7,7,2,2,3,2,3
2397,26,Married,Hetero,Christian,5,6,7,5,7,1,4,4,4,3,4
2398,14,Never,Bi,Atheist,1,1,6,4,4,6,3,1,3,2,4
2399,28,Never,Hetero,Other,4,6,6,6,6,3,2,2,3,2,3
2400,18,Never,Hetero,Hindu,3,6,5,6,4,7,5,1,1,2,2
2401,13,Never,New Types,Atheist,2,4,6,5,5,5,2,1,2,1,2
2402,38,Previously,Hetero,Other,6,3,6,5,7,7,3,2,2,3,3
2403,17,Never,Hetero,Atheist,7,6,2,3,5,3,7,1,1,1,1
2404,18,Never,Hetero,Atheist,2,5,6,7,6,2,1,2,1,2,1
2405,31,Previously,Hetero,Christian Other,6,6,1,6,4,1,7,1,1,2,1
2406,16,Never,Asexual,Agnostic,2,1,6,4,5,6,2,3,2,1,3
2407,15,Never,Hetero,Christian,1,5,7,5,1,6,2,3,4,3,4
2408,16,Never,Hetero,Atheist,1,1,7,7,7,7,1,4,3,2,4
2409,20,Never,Hetero,Christian Other,1,6,7,7,2,2,4,2,3,2,4
2410,16,Never,Homo,Jewish,1,7,7,7,7,5,6,3,1,4,1
2411,19,Never,New Types,Agnostic,2,7,7,7,7,6,1,4,3,4,2
2412,35,Previously,Hetero,Christian Other,2,5,7,6,7,6,5,3,2,2,3
2413,31,Married,Hetero,Other,2,4,7,6,5,7,1,3,4,4,4
2414,21,Never,Hetero,Protestant,3,6,1,4,6,4,1,4,3,4,4
2415,15,Never,Hetero,Mormon,7,6,7,6,1,3,1,3,4,4,4
2416,28,Never,Hetero,Muslim,6,5,5,6,6,5,3,2,3,3,4
2417,15,Never,Bi,Christian,5,3,7,3,4,5,1,3,2,3,4
2418,22,Never,Bi,Muslim,6,7,5,2,6,2,6,2,1,1,2
2419,21,Married,New Types,Christian Other,5,6,4,6,6,4,6,3,4,4,4
2420,36,Married,Hetero,Atheist,2,6,3,5,4,2,5,2,2,2,2
2421,50,Previously,Hetero,Agnostic,5,5,3,3,6,5,6,2,2,1,2
2422,60,Never,New Types,Protestant,4,4,6,7,7,4,4,1,2,1,1
2423,56,Married,Hetero,Protestant,2,7,7,7,5,2,1,4,4,4,4
2424,35,Never,Hetero,Atheist,1,5,7,5,7,1,1,3,2,4,4
2425,18,Never,New Types,Agnostic,2,4,6,6,5,6,3,2,4,2,3
2426,18,Never,Hetero,Christian,5,4,5,5,5,5,2,3,1,3,3
2427,13,Never,Bi,Atheist,1,6,7,5,5,5,2,4,4,2,4
2428,33,Previously,Bi,Atheist,1,6,4,7,4,1,4,2,2,3,4
2429,17,Never,Bi,Protestant,7,6,3,5,6,6,5,1,1,2,2
2430,58,Previously,Hetero,Christian Other,6,6,1,1,7,5,5,2,3,2,3
2431,15,Never,Hetero,Muslim,5,5,5,5,6,4,6,3,3,2,3
2432,29,Never,Hetero,Atheist,1,7,7,3,7,6,1,4,4,3,3
2433,23,Never,Hetero,Protestant,5,2,6,5,7,3,6,2,1,1,2
2434,20,Never,Homo,Atheist,4,3,6,1,5,4,1,3,3,4,3
2435,15,Never,New Types,Other,5,6,6,4,4,4,3,2,2,2,2
2436,28,Never,Bi,Other,6,2,7,1,7,5,4,2,2,2,4
2437,33,Married,Asexual,Christian,1,4,7,6,5,4,2,2,3,4,3
2438,16,Never,Hetero,Christian,4,5,6,6,6,5,5,2,2,2,2
2439,22,Never,Hetero,Other,5,5,3,5,6,4,5,1,1,2,1
2440,20,Never,Hetero,Atheist,4,3,6,3,6,6,2,3,2,3,2
2441,13,Never,Hetero,Christian Other,3,4,6,4,3,6,2,2,2,3,3
2442,16,Never,Asexual,Christian,3,4,4,6,4,4,4,2,1,3,1
2443,22,Never,Bi,Christian Other,4,6,7,5,1,2,6,2,3,4,4
2444,42,Married,Hetero,Atheist,7,7,5,1,6,2,7,1,1,2,2
2445,26,Never,Hetero,Protestant,2,1,4,6,6,6,4,2,1,3,3
2446,41,Never,Hetero,Atheist,3,7,1,7,6,7,7,1,4,1,3
2447,30,Never,Hetero,Agnostic,5,5,5,5,4,3,5,2,1,1,2
2448,45,Married,Hetero,Christian Other,5,6,5,5,7,3,5,1,2,3,2
2449,29,Never,Hetero,Jewish,7,6,6,2,6,4,5,2,1,2,2
2450,18,Never,Bi,Atheist,1,2,6,6,7,2,5,3,2,4,3
2451,39,Married,Hetero,Protestant,1,6,5,5,6,2,5,2,2,2,3
2452,16,Never,Bi,Christian,5,6,6,4,3,7,1,2,3,2,2
2453,24,Never,Hetero,Christian,6,6,6,6,6,1,3,2,1,2,2
2454,23,Never,Hetero,Atheist,4,5,7,3,5,3,1,3,3,3,3
2455,48,Never,Homo,Agnostic,1,6,5,7,6,7,5,2,1,2,1
2456,61,Married,Hetero,Christian,3,5,3,2,6,7,2,2,3,3,3
2457,30,Previously,Hetero,Atheist,1,2,7,6,1,3,2,3,3,4,2
2458,18,Never,Bi,Agnostic,1,6,7,3,2,7,1,4,4,2,4
2459,18,Never,Bi,Other,2,4,7,7,6,7,1,4,4,4,4
2460,22,Never,Hetero,Christian Other,4,1,7,1,5,7,1,4,4,4,4
2461,15,Never,Hetero,Other,2,7,7,6,7,1,3,2,2,4,3
2462,20,Never,Hetero,Christian Other,2,7,6,7,4,3,4,4,2,4,4
2463,42,Previously,New Types,Christian Other,4,5,7,2,6,6,1,2,2,3,3
2464,17,Never,Hetero,Atheist,3,5,3,6,7,6,5,1,2,3,3
2465,26,Never,Bi,Agnostic,1,3,7,5,5,5,1,2,2,4,2
2466,28,Married,Hetero,Christian,2,1,1,1,1,1,1,4,4,4,2
2467,15,Never,Hetero,Christian,7,6,1,5,6,5,7,2,1,1,1
2468,15,Never,Bi,Buddhist,3,2,2,3,3,1,1,3,3,3,3
2469,14,Never,Bi,Atheist,4,2,6,3,3,6,1,4,3,3,4
2470,52,Previously,Hetero,Christian Other,3,4,5,2,4,5,4,2,2,4,4
2471,15,Never,Hetero,Agnostic,5,5,6,7,5,5,2,2,3,3,4
2472,23,Never,Hetero,Muslim,5,7,5,4,5,3,2,4,4,4,4
2473,21,Never,Hetero,Christian Other,6,5,5,6,6,7,2,3,2,2,4
2474,38,Married,Hetero,Christian Other,4,7,7,6,6,2,2,3,2,3,3
2475,27,Married,Hetero,Atheist,4,6,6,6,5,5,5,2,2,4,2
2476,45,Married,Hetero,Christian Other,2,6,4,7,6,1,6,1,1,2,1
2477,40,Never,Bi,Agnostic,1,5,7,7,6,6,1,4,4,4,4
2478,18,Never,Hetero,Christian,4,3,6,7,7,3,2,3,2,3,4
2479,50,Previously,Hetero,Christian,2,2,5,5,3,6,3,3,2,3,2
2480,35,Married,Hetero,Christian,1,4,6,5,4,4,2,3,4,2,4
2481,19,Never,New Types,Atheist,5,6,7,7,7,6,5,4,4,3,2
2482,22,Never,Homo,Buddhist,5,6,3,7,6,5,5,2,2,4,3
2483,25,Never,Hetero,Protestant,6,6,2,3,6,2,6,1,1,1,1
2484,23,Never,Hetero,Christian Other,7,7,1,2,7,1,7,2,1,1,1
2485,38,Never,Hetero,Christian Other,1,6,6,4,7,4,2,4,4,4,4
2486,34,Married,Hetero,Other,7,7,2,3,5,1,7,1,1,1,1
2487,19,Never,Bi,Agnostic,3,5,7,6,6,2,3,4,1,4,4
2488,27,Never,Hetero,Christian Other,6,4,7,5,5,1,1,4,1,4,3
2489,31,Married,Hetero,Protestant,2,3,7,5,6,7,6,4,4,2,4
2490,46,Married,Hetero,Christian,2,6,4,3,6,1,3,2,3,1,3
2491,17,Never,Hetero,Christian,1,2,7,7,3,3,1,4,4,4,4
2492,23,Previously,Hetero,Atheist,1,4,7,6,3,6,4,3,2,3,4
2493,18,Never,Hetero,Christian Other,6,5,7,5,7,1,1,4,4,4,4
2494,49,Married,New Types,Other,5,6,5,6,7,5,3,3,1,4,2
2495,14,Never,Bi,Christian,3,5,7,4,6,5,1,4,4,3,4
2496,14,Never,New Types,Other,2,1,5,4,2,5,3,2,4,3,3
2497,16,Never,Bi,Agnostic,2,7,7,7,3,5,3,4,3,3,4
2498,53,Previously,Hetero,Protestant,6,7,5,5,7,1,6,4,2,4,3
2499,27,Never,Hetero,Christian,1,7,5,7,5,1,1,2,4,3,4
2500,23,Previously,Bi,Other,5,3,7,5,7,3,3,2,2,4,4
2501,19,Never,Bi,Atheist,3,5,6,6,7,6,4,2,1,3,4
2502,33,Previously,Bi,Agnostic,3,6,2,7,6,6,6,2,3,2,4
2503,17,Never,Hetero,Agnostic,1,2,7,7,3,6,1,4,4,4,4
2504,18,Never,Hetero,Agnostic,4,6,7,5,4,7,1,4,4,4,4
2505,40,Married,Hetero,Agnostic,5,7,6,5,7,2,4,2,2,2,3
2506,21,Never,Hetero,Agnostic,2,4,4,7,4,1,3,1,2,1,3
2507,16,Never,Hetero,Other,4,7,6,1,3,1,3,1,2,2,2
2508,38,Previously,Hetero,Atheist,1,5,7,7,6,5,1,4,4,4,4
2509,22,Previously,Hetero,Christian Other,1,4,7,7,4,7,1,4,4,4,4
2510,32,Married,Hetero,Protestant,6,7,1,3,5,1,6,2,1,2,2
2511,27,Never,Hetero,Christian,5,3,5,7,6,7,5,4,2,2,2
2512,23,Never,New Types,Christian,6,2,1,5,7,7,6,2,2,2,2
2513,19,Never,Hetero,Muslim,2,1,6,5,6,6,1,3,3,3,4
2514,16,Never,Hetero,Atheist,1,5,5,7,6,6,2,3,3,4,4
2515,18,Never,Hetero,Atheist,1,3,5,4,2,6,6,2,3,2,2
2516,25,Never,Hetero,Christian,6,5,7,1,5,7,2,3,3,3,4
2517,59,Married,Hetero,Christian,5,3,1,6,6,5,7,1,1,2,2
2518,19,Never,Hetero,Mormon,3,5,6,7,5,6,1,3,4,4,4
2519,14,Never,Bi,Christian,5,6,7,6,1,3,5,2,1,2,3
2520,32,Married,Hetero,Christian Other,2,6,7,4,2,3,1,4,3,4,4
2521,24,Never,Hetero,Christian,4,5,6,5,5,5,2,3,3,2,4
2522,38,Never,Hetero,Christian Other,2,4,6,4,6,6,1,3,4,3,4
2523,14,Never,Bi,Other,7,6,1,1,6,5,5,1,1,1,1
2524,16,Never,Hetero,Christian,6,3,1,2,4,6,6,1,2,1,1
2525,19,Never,Bi,Christian Other,2,5,6,6,6,5,3,4,2,3,4
2526,19,Never,Bi,Christian,2,3,6,6,6,6,2,3,2,3,3
2527,18,Never,Hetero,Christian Other,2,6,1,6,1,6,6,1,1,2,1
2528,19,Never,Hetero,Agnostic,2,5,5,7,4,3,3,4,3,3,4
2529,25,Married,Hetero,Christian Other,6,7,1,2,5,4,7,4,1,3,4
2530,15,Never,Bi,Agnostic,1,7,7,7,3,1,1,4,4,4,3
2531,34,Married,Hetero,Christian Other,3,5,7,7,6,1,2,4,2,2,2
2532,17,Never,Bi,Atheist,2,3,6,7,3,5,2,1,1,3,3
2533,17,Never,New Types,Other,5,5,4,5,6,3,5,1,1,2,2
2534,21,Never,Hetero,Muslim,3,5,4,7,4,5,4,2,2,2,2
2535,65,Married,Bi,Muslim,1,7,1,1,7,5,7,1,1,2,2
2536,20,Never,Hetero,Agnostic,3,3,6,4,6,6,2,4,3,3,4
2537,27,Never,Hetero,Hindu,5,7,5,5,7,5,5,2,1,3,2
2538,36,Married,Hetero,Other,4,7,7,7,7,7,2,4,3,4,4
2539,60,Married,New Types,Christian,3,7,7,7,7,7,2,1,1,2,2
2540,17,Never,Hetero,Atheist,4,4,7,3,6,1,4,1,3,2,2
2541,18,Never,Hetero,Protestant,6,5,6,4,6,2,3,4,3,3,3
2542,17,Never,Bi,Atheist,1,1,7,7,2,7,1,4,4,4,4
2543,26,Never,Hetero,Atheist,1,3,7,6,4,5,3,1,1,2,2
2544,52,Previously,Hetero,Protestant,1,5,7,7,6,5,2,2,2,3,3
2545,46,Previously,Hetero,Other,1,2,7,4,6,5,6,3,4,4,4
2546,18,Never,Hetero,Other,6,4,7,1,4,5,1,4,2,3,4
2547,27,Never,Hetero,Agnostic,6,7,5,6,2,5,2,3,2,3,3
2548,33,Married,Hetero,Christian,1,6,7,7,6,6,2,4,3,1,1
2549,18,Never,Asexual,Christian,7,4,7,3,6,7,1,3,3,3,4
2550,34,Married,Asexual,Agnostic,1,4,5,5,6,5,3,2,4,4,4
2551,22,Never,Hetero,Atheist,1,2,1,6,4,3,6,4,3,2,2
2552,14,Never,Hetero,Christian,5,3,7,4,4,6,2,4,3,4,3
2553,16,Never,Hetero,Christian,2,7,7,7,7,1,2,2,4,3,4
2554,30,Never,Hetero,Agnostic,5,5,6,5,5,3,2,2,1,3,3
2555,19,Never,Hetero,Christian,5,7,5,7,7,1,6,1,1,2,1
2556,16,Never,New Types,Christian,3,7,7,7,4,5,3,4,2,3,3
2557,30,Never,Homo,Christian,2,3,3,6,3,3,1,3,2,3,3
2558,29,Previously,New Types,Other,1,5,5,7,6,4,3,3,1,4,4
2559,31,Never,New Types,Other,2,7,6,7,7,1,6,1,1,4,2
2560,27,Married,Bi,Atheist,5,7,2,3,6,2,6,2,2,2,2
2561,34,Previously,Bi,Agnostic,1,2,2,6,3,1,6,2,2,4,3
2562,20,Never,Hetero,Christian,1,1,7,6,7,7,1,4,2,4,3
2563,18,Never,Bi,Christian Other,6,6,4,3,6,2,5,1,2,3,3
2564,15,Never,New Types,Atheist,4,4,7,7,7,5,4,3,3,4,4
2565,17,Never,Asexual,Agnostic,1,5,6,7,2,2,1,3,2,4,3
2566,38,Never,Hetero,Atheist,5,7,5,7,5,1,5,3,2,3,2
2567,16,Never,Bi,Christian,1,6,6,7,1,7,3,3,2,2,2
2568,25,Never,Hetero,Protestant,5,2,5,6,6,6,2,2,3,2,3
2569,22,Never,Hetero,Atheist,5,6,5,5,2,3,5,3,1,4,2
2570,23,Never,Hetero,Buddhist,1,6,5,7,2,3,5,2,3,3,4
2571,13,Never,Hetero,Mormon,1,1,7,7,3,7,1,3,4,4,4
2572,18,Never,Homo,Muslim,5,6,7,7,5,7,5,2,4,3,4
2573,61,Previously,Hetero,Other,5,3,5,5,3,3,3,2,1,2,2
2574,19,Never,Hetero,Muslim,1,4,5,6,2,6,2,2,4,4,4
2575,22,Never,Hetero,Agnostic,3,6,1,5,5,5,7,1,2,1,2
2576,23,Never,Hetero,Hindu,1,2,6,6,5,6,1,3,3,3,4
2577,45,Married,Hetero,Protestant,3,7,1,6,6,1,6,1,3,2,3
2578,23,Never,Hetero,Agnostic,2,6,6,6,7,2,2,3,3,3,4
2579,58,Previously,Hetero,Atheist,3,5,6,6,1,2,1,2,3,2,4
2580,17,Never,Hetero,Atheist,2,7,6,7,7,1,2,1,2,4,4
2581,16,Never,Hetero,Christian,3,3,5,7,4,2,2,3,2,3,3
2582,15,Never,Hetero,Agnostic,3,3,7,6,5,4,2,4,1,4,2
2583,17,Never,Hetero,Christian Other,1,6,5,7,7,7,2,3,3,2,4
2584,19,Never,New Types,Atheist,2,2,6,6,5,6,2,4,1,2,3
2585,42,Never,Hetero,Christian Other,3,6,7,7,7,2,2,3,1,4,1
2586,15,Never,Hetero,Other,1,5,7,4,6,1,1,3,3,1,4
2587,14,Never,Hetero,Atheist,1,1,7,7,7,7,1,4,4,4,4
2588,35,Married,Hetero,Christian Other,1,6,5,5,5,1,5,2,2,2,2
2589,30,Never,Hetero,Christian,3,1,6,5,7,6,2,3,4,4,4
2590,54,Never,Hetero,Atheist,4,6,2,5,4,2,6,2,1,1,1
2591,55,Married,Hetero,Protestant,1,6,2,7,6,3,1,3,4,3,4
2592,49,Married,New Types,Agnostic,3,7,1,7,6,1,7,1,2,3,2
2593,22,Never,Hetero,Atheist,2,1,5,6,5,6,3,1,2,2,4
2594,20,Never,Hetero,Atheist,2,2,2,7,2,2,7,2,3,2,4
2595,28,Second,Hetero,Hindu,7,1,1,6,3,6,6,3,1,2,2
2596,20,Never,Hetero,Agnostic,2,1,6,7,3,5,2,3,2,2,3
2597,19,Never,New Types,Muslim,4,7,5,5,6,7,5,3,1,3,2
2598,16,Never,New Types,Agnostic,6,5,7,4,5,5,2,4,2,1,4
2599,27,Never,Bi,Agnostic,1,5,7,7,2,5,1,3,1,1,2
2600,49,Married,Hetero,Agnostic,5,6,1,7,6,1,6,1,3,3,2
2601,21,Never,Hetero,Agnostic,3,2,6,7,5,5,2,2,2,4,3
2602,25,Never,Bi,Agnostic,1,5,7,7,6,5,1,4,2,4,4
2603,15,Never,Hetero,Christian,3,5,5,7,5,4,4,3,3,3,4
2604,19,Never,Hetero,Atheist,3,2,6,4,2,6,1,3,3,3,3
2605,16,Never,Hetero,Other,7,6,5,2,1,7,2,3,4,3,4
2606,15,Never,New Types,Other,4,5,7,6,7,7,1,4,4,4,4
2607,31,Married,Hetero,Christian,6,7,5,6,6,2,5,2,1,2,3
2608,38,Married,Hetero,Christian Other,1,5,7,6,6,6,1,3,4,4,4
2609,19,Never,Hetero,Christian Other,2,5,3,6,6,3,4,3,2,4,4
2610,14,Never,Bi,Other,1,7,7,7,2,7,1,4,4,4,4
2611,47,Never,Hetero,Agnostic,7,2,3,1,7,6,4,1,2,3,3
2612,15,Never,Bi,Protestant,3,3,6,3,5,5,3,3,2,4,3
2613,39,Never,Bi,Other,2,5,6,7,7,3,2,4,4,4,4
2614,18,Never,Hetero,Protestant,2,2,1,4,2,5,4,2,1,2,3
2615,23,Never,Hetero,Other,5,6,4,4,6,5,4,4,2,3,4
2616,21,Married,New Types,Protestant,5,5,6,7,7,7,3,3,2,3,3
2617,17,Never,Hetero,Hindu,4,6,6,5,3,5,3,1,4,1,3
2618,21,Never,Hetero,Other,2,7,6,6,5,1,4,3,2,4,4
2619,32,Never,Homo,Agnostic,5,2,6,2,7,7,5,2,3,3,4
2620,22,Never,Homo,Protestant,3,5,6,7,7,4,2,2,2,3,4
2621,20,Never,Hetero,Muslim,3,4,6,4,4,5,3,3,3,3,3
2622,19,Never,Hetero,Muslim,4,5,6,5,5,5,3,2,3,2,3
2623,21,Never,Hetero,Atheist,2,7,1,7,3,2,2,1,4,3,4
2624,19,Never,Hetero,Hindu,2,1,3,6,5,6,1,4,4,4,3
2625,17,Second,Hetero,Atheist,5,6,7,6,5,3,2,2,2,3,3
2626,27,Married,New Types,Muslim,4,7,5,6,6,5,6,4,2,4,4
2627,28,Never,Hetero,Christian,1,5,5,5,6,2,4,3,2,4,4
2628,28,Previously,Asexual,Muslim,1,1,3,3,3,1,3,4,4,4,4
2629,51,Married,Hetero,Christian Other,5,7,5,3,6,1,3,3,2,4,3
2630,15,Never,Homo,Atheist,1,1,7,7,4,6,1,2,1,2,2
2631,48,Previously,Hetero,Other,7,6,7,7,4,7,1,3,4,4,4
2632,18,Never,Bi,Atheist,1,3,7,7,4,1,1,4,1,4,3
2633,38,Married,Hetero,Atheist,4,5,7,4,1,2,5,3,1,2,3
2634,14,Never,New Types,Muslim,4,6,6,4,7,7,2,4,2,4,4
2635,16,Never,Bi,Christian,6,5,5,1,5,1,1,4,3,3,3
2636,49,Married,Hetero,Protestant,1,7,6,6,7,3,5,3,2,3,3
2637,15,Never,Hetero,Agnostic,1,4,7,7,2,2,2,2,2,3,3
2638,16,Never,Asexual,Agnostic,5,2,7,1,4,6,1,4,1,3,3
2639,35,Married,Hetero,Other,2,3,4,4,5,6,3,3,4,4,3
2640,17,Never,Homo,Atheist,3,4,5,5,5,5,4,2,2,3,3
2641,54,Previously,Hetero,Other,6,5,4,5,7,3,5,2,3,4,4
2642,13,Never,New Types,Atheist,2,4,7,7,6,7,1,4,3,2,4
2643,44,Never,Hetero,Atheist,1,1,7,7,1,7,1,4,4,4,4
2644,18,Never,Bi,Other,1,3,7,7,3,5,1,2,1,4,4
2645,20,Never,Bi,Agnostic,2,7,7,7,5,3,4,4,2,2,1
2646,18,Never,Homo,Christian,7,7,5,1,5,1,3,2,1,2,2
2647,14,Never,Hetero,Muslim,4,5,1,6,4,2,1,3,3,4,4
2648,15,Never,Hetero,Christian Other,2,5,3,5,6,5,3,2,2,3,2
2649,15,Never,Asexual,Agnostic,2,2,7,6,6,6,1,3,3,3,3
2650,43,Married,Hetero,Christian Other,5,6,6,5,7,2,3,4,2,4,4
2651,15,Never,Homo,Atheist,2,2,7,6,2,6,2,4,2,3,3
2652,17,Never,Hetero,Christian,6,2,1,5,6,3,7,1,1,2,3
2653,13,Never,New Types,Other,1,5,6,7,5,4,2,2,2,2,3
2654,13,Never,New Types,Other,6,5,4,3,6,2,4,4,3,4,3
2655,49,Married,Hetero,Buddhist,2,6,5,6,6,1,6,1,1,3,2
2656,20,Never,Hetero,Protestant,2,7,7,7,6,1,2,3,1,3,3
2657,15,Never,Hetero,Atheist,6,6,5,6,7,5,3,3,2,2,3
2658,20,Never,Hetero,Atheist,1,1,5,7,6,4,1,4,4,3,4
2659,20,Never,Hetero,Christian,5,6,5,3,6,4,2,3,2,4,4
2660,37,Married,Hetero,Other,7,6,6,1,7,2,3,3,1,3,3
2661,30,Married,Bi,Agnostic,1,6,6,7,7,2,2,4,3,4,4
2662,18,Never,Hetero,Atheist,1,1,6,6,4,6,1,4,3,4,4
2663,21,Never,Hetero,Muslim,3,5,3,2,5,1,5,4,4,4,4
2664,44,Never,Hetero,Agnostic,5,1,5,5,5,7,5,1,3,3,3
2665,54,Married,Hetero,Mormon,2,7,5,6,3,1,6,2,2,2,2
2666,28,Married,Hetero,Muslim,6,6,6,6,6,6,5,4,2,3,3
2667,20,Never,Hetero,Muslim,4,7,1,5,6,1,6,1,1,1,1
2668,36,Married,Hetero,Muslim,3,4,6,1,5,1,2,4,3,3,4
2669,21,Never,Hetero,Muslim,6,6,2,2,7,6,7,2,1,1,3
2670,43,Married,Hetero,Atheist,5,1,6,1,7,7,2,2,2,2,1
2671,16,Never,New Types,Agnostic,1,4,5,7,6,7,5,4,4,4,4
2672,14,Never,Hetero,Buddhist,2,4,4,7,7,6,4,2,3,3,2
2673,27,Never,Hetero,Christian Other,6,1,7,6,6,2,2,2,4,4,4
2674,16,Never,Hetero,Christian Other,5,7,7,7,7,1,7,4,1,4,2
2675,16,Never,Hetero,Christian,3,1,4,5,1,7,4,3,4,3,4
2676,15,Never,Hetero,Christian,6,6,4,4,6,3,6,1,1,1,2
2677,15,Never,Hetero,Atheist,1,5,3,7,6,5,5,1,1,3,1
2678,15,Never,Hetero,Christian,2,6,5,7,6,3,4,2,1,1,1
2679,15,Never,Hetero,Christian,5,6,1,5,6,2,6,1,1,1,1
2680,16,Never,Hetero,Agnostic,5,4,6,6,5,2,6,2,2,1,3
2681,15,Never,Hetero,Christian,5,7,6,7,6,1,4,2,1,2,1
2682,16,Never,Hetero,Atheist,6,7,6,1,2,2,1,4,4,3,4
2683,16,Never,Hetero,Christian,6,6,5,2,6,4,3,2,1,1,1
2684,16,Never,Hetero,Other,3,6,5,6,4,5,4,2,1,3,1
2685,15,Never,Hetero,Other,3,4,7,6,6,4,1,1,2,4,4
2686,16,Never,New Types,Christian,2,7,5,6,3,4,7,1,1,1,1
2687,15,Never,New Types,Christian,5,7,3,7,5,1,5,1,2,1,1
2688,16,Never,New Types,Christian,1,1,1,1,1,1,1,1,1,1,1
2689,15,Never,Hetero,Christian Other,6,1,4,2,7,6,7,1,1,1,1
2690,15,Never,Hetero,Christian,7,6,1,1,7,2,6,1,1,1,1
